0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/uploadFile/CLOTH13.jpg HTTP/1.1" 200 315865
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/uploadFile/event21.png HTTP/1.1" 200 7181
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/uploadFile/coat.jpg HTTP/1.1" 200 19207
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/image/logo.gif HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:58:36 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 9858
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:59:01 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:59:20 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [28/Nov/2019:10:01:55 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10121
0:0:0:0:0:0:0:1 - - [28/Nov/2019:10:01:55 +0900] "GET /Shopping_Mall/js/midslide.js HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [28/Nov/2019:10:02:37 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10121
0:0:0:0:0:0:0:1 - - [28/Nov/2019:10:02:37 +0900] "GET /Shopping_Mall/js/midslide.js HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [28/Nov/2019:10:03:16 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10103
