127.0.0.1 - - [24/Nov/2019:15:01:49 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:54 +0900] "GET /Shopping_Mall/jsp/Product/Product_Detail.jsp HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:55 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 200 65239
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:55 +0900] "GET /Shopping_Mall/css/Product.css?after HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:55 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:55 +0900] "GET /Shopping_Mall/js/product_detail.js HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:55 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:55 +0900] "GET /Shopping_Mall/image/ad1.png HTTP/1.1" 200 76397
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:55 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:55 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:57 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:57 +0900] "GET /Shopping_Mall/image/test.PNG HTTP/1.1" 200 12992
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:01:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:42 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 5376
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:42 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:45 +0900] "GET /Shopping_Mall/jsp/Best/Best_Product.jsp HTTP/1.1" 200 5957
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:45 +0900] "GET /Shopping_Mall/image/seller.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:45 +0900] "GET /Shopping_Mall/css/Best.css?after HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:46 +0900] "GET /Shopping_Mall/jsp/Best/TodaySale.jsp HTTP/1.1" 200 5974
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:46 +0900] "GET /Shopping_Mall/jsp/Event/EventMain.jsp HTTP/1.1" 500 4353
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:46 +0900] "GET /Shopping_Mall/css/Event.css?after HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:51 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 6353
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:04:51 +0900] "GET /Shopping_Mall/css/Plan.css?after HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:05:05 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 6353
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:06:27 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 6931
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:06:28 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 6931
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:06:28 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 6931
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 6931
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/css/Plan.css?after HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 200 65239
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:18 +0900] "GET /Shopping_Mall/image/test.PNG HTTP/1.1" 200 12992
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 6931
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/css/Plan.css?after HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 200 65239
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /Shopping_Mall/image/test.PNG HTTP/1.1" 200 12992
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:30 +0900] "GET /Shopping_Mall/jsp/Login/LoginMain.jsp HTTP/1.1" 200 11558
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:30 +0900] "GET /Shopping_Mall/css/Login.css HTTP/1.1" 200 6413
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:36 +0900] "GET /Shopping_Mall/jsp/SignUp/Distinct_member.jsp HTTP/1.1" 200 5467
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:36 +0900] "GET /Shopping_Mall/image/btn_member.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:36 +0900] "GET /Shopping_Mall/css/SignUp.css?after HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:36 +0900] "GET /Shopping_Mall/image/btn_seller.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:38 +0900] "GET /Shopping_Mall/jsp/SignUp/customer/SignUpMain.jsp HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:38 +0900] "GET /Shopping_Mall/css/SignUp.css HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:38 +0900] "GET /Shopping_Mall/image/step1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:38 +0900] "GET /Shopping_Mall/jsp/SignUp/infoAgree.html HTTP/1.1" 200 8454
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:38 +0900] "GET /Shopping_Mall/jsp/SignUp/serviceAgree.html HTTP/1.1" 200 26910
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:41 +0900] "GET /Shopping_Mall/jsp/SignUp/customer/SignUpForm.jsp HTTP/1.1" 200 9275
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:41 +0900] "GET /Shopping_Mall/image/step2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:41 +0900] "GET /Shopping_Mall/js/MemberCheck.js HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:48 +0900] "POST /Shopping_Mall/jsp/SignUp/customer/SignUpProc.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:07:48 +0900] "GET /Shopping_Mall/jsp/SignUp/customer/SignUpForm.jsp HTTP/1.1" 200 9275
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:07 +0900] "POST /Shopping_Mall/jsp/SignUp/customer/SignUpProc.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:08 +0900] "GET /Shopping_Mall/jsp/SignUp/SignUpOk.jsp HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:08 +0900] "GET /Shopping_Mall/image/step3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:13 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:17 +0900] "GET /Shopping_Mall/jsp/SignUp/Distinct_member.jsp HTTP/1.1" 200 5467
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:18 +0900] "GET /Shopping_Mall/jsp/SignUp/seller/SellerAgree.jsp HTTP/1.1" 200 8074
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:22 +0900] "GET /Shopping_Mall/jsp/SignUp/seller/SellerReg.jsp HTTP/1.1" 200 7539
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:46 +0900] "POST /Shopping_Mall/jsp/SignUp/seller/seller_reg_proc.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:47 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:08:50 +0900] "GET /Shopping_Mall/jsp/Login/LoginMain.jsp HTTP/1.1" 200 11558
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:10 +0900] "POST /Shopping_Mall/jsp/Login/LoginProc_member.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:10 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:12 +0900] "GET /Shopping_Mall/jsp/Admin/Admin_Verify_Seller.jsp HTTP/1.1" 200 7295
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:12 +0900] "GET /Shopping_Mall/css/Admin.css?after HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:13 +0900] "GET /Shopping_Mall/jsp/Admin/admin_verify_proc.jsp?seller_id=1111111111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:13 +0900] "GET /Shopping_Mall/jsp/Admin/Admin_Verify_Seller.jsp HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:16 +0900] "GET /Shopping_Mall/jsp/Login/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:16 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 5956
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:18 +0900] "GET /Shopping_Mall/jsp/Login/LoginMain.jsp HTTP/1.1" 200 11664
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:30 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:33 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=1-1 HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:35 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=1-2 HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:09:37 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=all HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:15:46 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=all HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:15:47 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=all HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:15:47 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=all HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:15:47 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=all HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:11 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=all HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:27 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=1-1 HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:31 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=1-2 HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp?category=1-2 HTTP/1.1" 200 7037
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/css/Plan.css?after HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 200 65239
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:16:54 +0900] "GET /Shopping_Mall/image/test.PNG HTTP/1.1" 200 12992
