127.0.0.1 - - [21/Nov/2019:09:19:33 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:34 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4912
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:34 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:34 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:34 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:36 +0900] "GET /Shopping_Mall/jsp/Login/LoginMain.jsp HTTP/1.1" 200 10466
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:36 +0900] "GET /Shopping_Mall/css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:44 +0900] "POST /Shopping_Mall/jsp/Login/LoginProc_seller.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:44 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4986
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:46 +0900] "GET /Shopping_Mall/jsp/Member/InfoMain.jsp HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:46 +0900] "GET /Shopping_Mall/css/Info.css?after HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:47 +0900] "GET /Shopping_Mall/jsp/Cart/CartMain.jsp HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:47 +0900] "GET /Shopping_Mall/css/Cart.css HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:49 +0900] "GET /Shopping_Mall/jsp/Order/OrderMain.jsp HTTP/1.1" 200 8318
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:49 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:49 +0900] "GET /css/SignUp.css?after HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:49 +0900] "GET /js/MemberCheck.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:49 +0900] "GET /Shopping_Mall/css/Community.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:49 +0900] "GET /css/SignUp.css?after HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:19:49 +0900] "GET /js/MemberCheck.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:20:07 +0900] "GET /Shopping_Mall/jsp/Seller/Seller_Product.jsp HTTP/1.1" 200 7695
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:20:07 +0900] "GET /Shopping_Mall/css/Seller.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:20:07 +0900] "GET /Shopping_Mall/uploadFile/g_280_02-6.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:20:07 +0900] "GET /Shopping_Mall/uploadFile/coat2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:20:07 +0900] "GET /Shopping_Mall/uploadFile/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:28:40 +0900] "GET /Shopping_Mall/jsp/Seller/Seller_Product.jsp HTTP/1.1" 200 7556
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:28:46 +0900] "GET /Shopping_Mall/jsp/Login/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:28:46 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4868
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:28:47 +0900] "GET /Shopping_Mall/jsp/Login/LoginMain.jsp HTTP/1.1" 200 10422
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:54:54 +0900] "GET /Shopping_Mall/jsp/Login/LoginMain.jsp HTTP/1.1" 200 10353
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:55:00 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:14 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:16 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:16 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:16 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:16 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:16 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:30 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:37 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:41 +0900] "GET /Shopping_Mall/jsp/Community/Community_OOTD.jsp HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:42 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:44 +0900] "GET /Shopping_Mall/jsp/Best/Best_Product.jsp HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:44 +0900] "GET /Shopping_Mall/css/Best.css?after HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:45 +0900] "GET /Shopping_Mall/jsp/Best/TodaySale.jsp HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:46 +0900] "GET /Shopping_Mall/css/Event.css?after HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:46 +0900] "GET /Shopping_Mall/jsp/Event/EventMain.jsp HTTP/1.1" 200 4853
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:56:46 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [21/Nov/2019:09:57:16 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:12:45 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:15:25 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:15:28 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:15:28 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:15:28 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:15:28 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:15:28 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:15:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:16:54 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:16:57 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:16:57 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:16:57 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:16:57 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:16:57 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:16:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:17:33 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:17:33 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:17:34 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:17:34 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:17:34 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:17:34 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [21/Nov/2019:10:17:34 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
