127.0.0.1 - - [22/Nov/2019:10:14:58 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 6872
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/image/ad1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/uploadFile/blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/uploadFile/coat5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/uploadFile/CLOTH19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/uploadFile/top2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /Shopping_Mall/uploadFile/jeep.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:14:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:00 +0900] "GET /Shopping_Mall/jsp/Community/Community_OOTD.jsp HTTP/1.1" 200 7762
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:00 +0900] "GET /Shopping_Mall/css/Community.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:01 +0900] "GET /Shopping_Mall/jsp/Plan/PlanProduct.jsp HTTP/1.1" 200 6789
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:01 +0900] "GET /Shopping_Mall/css/Plan.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:02 +0900] "GET /Shopping_Mall/css/Event.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:02 +0900] "GET /Shopping_Mall/jsp/Event/EventMain.jsp HTTP/1.1" 500 5024
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:04 +0900] "GET /Shopping_Mall/jsp/Event/EventMain.jsp HTTP/1.1" 500 5024
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:18 +0900] "GET /Shopping_Mall/jsp/Event/EventMain.jsp HTTP/1.1" 500 5024
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:22 +0900] "GET /Shopping_Mall/jsp/Login/LoginMain.jsp HTTP/1.1" 200 11754
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:22 +0900] "GET /Shopping_Mall/css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:28 +0900] "POST /Shopping_Mall/jsp/Login/LoginProc_member.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:28 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:31 +0900] "GET /Shopping_Mall/jsp/Event/EventMain.jsp HTTP/1.1" 200 6510
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:20:32 +0900] "GET /Shopping_Mall/jsp/Event/EventWinning.jsp HTTP/1.1" 200 6335
