127.0.0.1 - - [16/Nov/2019:22:38:46 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:38:50 +0900] "GET /Shopping_Mall/jsp/Main/MainPage2.jsp HTTP/1.1" 200 6622
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:38:51 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:38:51 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:38:51 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:38:51 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:38:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:39:42 +0900] "GET /Shopping_Mall/jsp/Main/MainPage2.jsp HTTP/1.1" 200 6622
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:00 +0900] "GET /Shopping_Mall/jsp/Main/MainPage2.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:00 +0900] "GET /Shopping_Mall/jsp/Main/test.css?after HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:00 +0900] "GET /Shopping_Mall/jsp/Main/compass/css3 HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:03 +0900] "GET /Shopping_Mall/jsp/Main/MainPage2.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:03 +0900] "GET /Shopping_Mall/jsp/Main/test.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:03 +0900] "GET /Shopping_Mall/jsp/Main/compass/css3 HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:04 +0900] "GET /Shopping_Mall/jsp/Main/compass/css3 HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:21 +0900] "GET /Shopping_Mall/jsp/Main/MainPage2.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:21 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:21 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:21 +0900] "GET /Shopping_Mall/jsp/Main/test.css?after HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:21 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:21 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:21 +0900] "GET /Shopping_Mall/jsp/Main/compass/css3 HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:22 +0900] "GET /Shopping_Mall/jsp/Main/MainPage2.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:22 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:22 +0900] "GET /Shopping_Mall/jsp/Main/test.css?after HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:22 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:22 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:22 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:22 +0900] "GET /Shopping_Mall/jsp/Main/compass/css3 HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:23 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:23 +0900] "GET /Shopping_Mall/jsp/Main/MainPage2.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:23 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:23 +0900] "GET /Shopping_Mall/jsp/Main/test.css?after HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [16/Nov/2019:22:40:23 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2469
